"Locale","Property ID","Property Name","Purchase Price","Base Income (/s)","Upgrade Description","Upgrade Cost","New Income (/s)"
"Miami, Florida","luxury_condo_miami","Luxury Condo",750000.0,1162.5,"Home Theater",525000.0,2673.75
"Miami, Florida","miami_beach_house","Miami Beach House",1500000.0,2475.0,"Sea Deck",450000.0,3217.5
"Miami, Florida","miami_beach_house","Miami Beach House",1500000.0,2475.0,"Infinity Pool",750000.0,4207.5
"Miami, Florida","miami_beach_house","Miami Beach House",1500000.0,2475.0,"Smart Security",1050000.0,5692.5
"Miami, Florida","high_rise_suite_miami","High-Rise Suite",3000000.0,5250.0,"Sky Lounge",900000.0,6825.0
"Miami, Florida","high_rise_suite_miami","High-Rise Suite",3000000.0,5250.0,"Private Terrace",1500000.0,8925.0
"Miami, Florida","high_rise_suite_miami","High-Rise Suite",3000000.0,5250.0,"Luxury Spa",2100000.0,12075.0
"Miami, Florida","skyline_penthouse_miami","Skyline Penthouse",7500000.0,13875.0,"Rooftop Pool",2250000.0,18037.5
"Miami, Florida","skyline_penthouse_miami","Skyline Penthouse",7500000.0,13875.0,"Smart Home System",3750000.0,23587.5
"Miami, Florida","skyline_penthouse_miami","Skyline Penthouse",7500000.0,13875.0,"Private Elevator",5250000.0,31912.5
"Miami, Florida","waterfront_mansion","Waterfront Mansion",15000000.0,29250.0,"Private Dock",4500000.0,38025.0
"Miami, Florida","waterfront_mansion","Waterfront Mansion",15000000.0,29250.0,"Helipad",7500000.0,49725.0
"Miami, Florida","waterfront_mansion","Waterfront Mansion",15000000.0,29250.0,"Luxury Cinema",10500000.0,67275.0
"Miami, Florida","miami_iconic_estate","Miami Iconic Estate",30000000.0,61500.0,"Sky Terrace",9000000.0,79950.0
"Miami, Florida","miami_iconic_estate","Miami Iconic Estate",30000000.0,61500.0,"Helipad",15000000.0,104550.0
"Miami, Florida","miami_iconic_estate","Miami Iconic Estate",30000000.0,61500.0,"Private Spa",21000000.0,141450.0
"New York City, NY","studio_apartment","Studio Apartment",60000.0,69.0,"Loft Bed",18000.0,89.7
"New York City, NY","studio_apartment","Studio Apartment",60000.0,69.0,"Smart Storage",30000.0,117.3
"New York City, NY","studio_apartment","Studio Apartment",60000.0,69.0,"AC Unit",42000.0,158.7
"New York City, NY","brownstone_flat","Brownstone Flat",120000.0,150.0,"Restored Facade",36000.0,195.0
"New York City, NY","brownstone_flat","Brownstone Flat",120000.0,150.0,"Fireplace",60000.0,255.0
"New York City, NY","brownstone_flat","Brownstone Flat",120000.0,150.0,"Smart Heating",84000.0,345.0
"New York City, NY","midtown_condo","Midtown Condo",300000.0,405.0,"Balcony",90000.0,526.5
"New York City, NY","midtown_condo","Midtown Condo",300000.0,405.0,"Smart Lights",150000.0,688.5
"New York City, NY","midtown_condo","Midtown Condo",300000.0,405.0,"Luxury Kitchen",210000.0,931.5
"New York City, NY","luxury_loft_nyc","Luxury Loft",600000.0,870.0,"Exposed Brick",180000.0,1131.0
"New York City, NY","luxury_loft_nyc","Luxury Loft",600000.0,870.0,"Open Plan",300000.0,1479.0
"New York City, NY","luxury_loft_nyc","Luxury Loft",600000.0,870.0,"Rooftop Terrace",420000.0,2001.0
"New York City, NY","high_rise_unit_nyc","High-Rise Unit",1500000.0,2325.0,"Panoramic Windows",450000.0,3022.5
"New York City, NY","high_rise_unit_nyc","High-Rise Unit",1500000.0,2325.0,"Private Gym",750000.0,3952.5
"New York City, NY","high_rise_unit_nyc","High-Rise Unit",1500000.0,2325.0,"Smart Security",1050000.0,5347.5
"New York City, NY","manhattan_suite","Manhattan Suite",3000000.0,4950.0,"Sky Deck",900000.0,6435.0
"New York City, NY","manhattan_suite","Manhattan Suite",3000000.0,4950.0,"Home Theater",1500000.0,8415.0
"New York City, NY","manhattan_suite","Manhattan Suite",3000000.0,4950.0,"Luxury Bath",2100000.0,11385.0
"New York City, NY","skyline_penthouse_nyc","Skyline Penthouse",7500000.0,13125.0,"Rooftop Pool",2250000.0,17062.5
"New York City, NY","skyline_penthouse_nyc","Skyline Penthouse",7500000.0,13125.0,"Smart Home System",3750000.0,22312.5
"New York City, NY","skyline_penthouse_nyc","Skyline Penthouse",7500000.0,13125.0,"Private Elevator",5250000.0,30187.5
"New York City, NY","central_park_view","Central Park View",15000000.0,27750.0,"Panoramic Lounge",4500000.0,36075.0
"New York City, NY","central_park_view","Central Park View",15000000.0,27750.0,"Helipad",7500000.0,47175.0
"New York City, NY","central_park_view","Central Park View",15000000.0,27750.0,"Luxury Spa",10500000.0,63825.0
"New York City, NY","billionaire_tower","Billionaire Tower",30000000.0,58500.0,"Sky Lounge",9000000.0,76050.0
"New York City, NY","billionaire_tower","Billionaire Tower",30000000.0,58500.0,"Helipad",15000000.0,99450.0
"New York City, NY","billionaire_tower","Billionaire Tower",30000000.0,58500.0,"Private Cinema",21000000.0,134550.0
"New York City, NY","nyc_landmark_estate","NYC Landmark Estate",60000000.0,123000.0,"Grand Terrace",18000000.0,159900.0
"New York City, NY","nyc_landmark_estate","NYC Landmark Estate",60000000.0,123000.0,"Helipad",30000000.0,209100.0
"New York City, NY","nyc_landmark_estate","NYC Landmark Estate",60000000.0,123000.0,"Luxury Suites",42000000.0,282900.0
"Los Angeles, CA","studio_bungalow","Studio Bungalow",50000.0,57.5,"Patio",15000.0,74.75
"Los Angeles, CA","studio_bungalow","Studio Bungalow",50000.0,57.5,"Solar Panels",25000.0,97.75
"Los Angeles, CA","studio_bungalow","Studio Bungalow",50000.0,57.5,"AC Unit",35000.0,132.25
"Los Angeles, CA","hillside_flat","Hillside Flat",100000.0,125.0,"Deck Extension",30000.0,162.5
"Los Angeles, CA","hillside_flat","Hillside Flat",100000.0,125.0,"Smart Lights",50000.0,212.5
"Los Angeles, CA","hillside_flat","Hillside Flat",100000.0,125.0,"Kitchen Upgrade",70000.0,287.5
"Los Angeles, CA","modern_condo_la","Modern Condo",250000.0,337.5,"Balcony Garden",75000.0,438.75
"Los Angeles, CA","modern_condo_la","Modern Condo",250000.0,337.5,"Smart AC",125000.0,573.75
"Los Angeles, CA","modern_condo_la","Modern Condo",250000.0,337.5,"Luxury Bath",175000.0,776.25
"Los Angeles, CA","hollywood_villa","Hollywood Villa",500000.0,725.0,"Pool Addition",150000.0,942.5
"Los Angeles, CA","hollywood_villa","Hollywood Villa",500000.0,725.0,"Home Theater",250000.0,1232.5
"Los Angeles, CA","hollywood_villa","Hollywood Villa",500000.0,725.0,"Smart Security",350000.0,1667.5
"Los Angeles, CA","luxury_loft_la","Luxury Loft",1000000.0,1550.0,"Exposed Brick",300000.0,2015.0
"Los Angeles, CA","luxury_loft_la","Luxury Loft",1000000.0,1550.0,"Rooftop Terrace",500000.0,2635.0
"Los Angeles, CA","luxury_loft_la","Luxury Loft",1000000.0,1550.0,"Private Gym",700000.0,3565.0
"Los Angeles, CA","beverly_hills_house","Beverly Hills House",2500000.0,4125.0,"Infinity Pool",750000.0,5362.5
"Los Angeles, CA","beverly_hills_house","Beverly Hills House",2500000.0,4125.0,"Smart Home System",1250000.0,7012.5
"Los Angeles, CA","beverly_hills_house","Beverly Hills House",2500000.0,4125.0,"Luxury Spa",1750000.0,9487.5
"Los Angeles, CA","celebrity_mansion","Celebrity Mansion",5000000.0,8750.0,"Private Studio",1500000.0,11375.0
"Los Angeles, CA","celebrity_mansion","Celebrity Mansion",5000000.0,8750.0,"Rooftop Pool",2500000.0,14875.0
"Los Angeles, CA","celebrity_mansion","Celebrity Mansion",5000000.0,8750.0,"Luxury Cinema",3500000.0,20125.0
"Los Angeles, CA","skyline_penthouse_la","Skyline Penthouse",10000000.0,18500.0,"Sky Lounge",3000000.0,24050.0
"Los Angeles, CA","skyline_penthouse_la","Skyline Penthouse",10000000.0,18500.0,"Helipad",5000000.0,31450.0
