"Locale","Property ID","Property Name","Purchase Price","Base Income (/s)","Upgrade Description","Upgrade Cost","New Income (/s)"
"Rural Kenya","mud_hut","Mud Hut",500.0,0.575,"Thatch Floor",150.0,0.75
"Rural Kenya","mud_hut","Mud Hut",500.0,0.575,"Shelving",250.0,1.00
"Rural Kenya","mud_hut","Mud Hut",500.0,0.575,"Running Water",350.0,1.40
"Rural Kenya","thatched_cottage","Thatched Cottage",1000.0,1.25,"Mud Brick Walls",300.0,1.63
"Rural Kenya","thatched_cottage","Thatched Cottage",1000.0,1.25,"Wooden Door",500.0,2.13
"Rural Kenya","thatched_cottage","Thatched Cottage",1000.0,1.25,"Rainwater Tank",700.0,2.88
"Rural Kenya","brick_shack","Brick Shack",2500.0,3.375,"Tin Roof",750.0,4.39
"Rural Kenya","brick_shack","Brick Shack",2500.0,3.375,"Concrete Floor",1250.0,5.74
"Rural Kenya","brick_shack","Brick Shack",2500.0,3.375,"Solar Lanterns",1750.0,7.76
"Rural Kenya","solar_powered_hut","Solar-Powered Hut",5000.0,7.25,"Extra Panels",1500.0,9.43
"Rural Kenya","solar_powered_hut","Solar-Powered Hut",5000.0,7.25,"Battery Storage",2500.0,12.33
"Rural Kenya","solar_powered_hut","Solar-Powered Hut",5000.0,7.25,"Insulated Walls",3500.0,16.68
"Rural Kenya","village_compound","Village Compound",10000.0,15.5,"Water Well",3000.0,20.15
"Rural Kenya","village_compound","Village Compound",10000.0,15.5,"Fenced Yard",5000.0,26.35
"Rural Kenya","village_compound","Village Compound",10000.0,15.5,"Communal Kitchen",7000.0,35.65
"Rural Kenya","eco_lodge","Eco-Lodge",25000.0,41.25,"Solar Water Heater",7500.0,53.63
"Rural Kenya","eco_lodge","Eco-Lodge",25000.0,41.25,"Compost System",12500.0,70.13
"Rural Kenya","eco_lodge","Eco-Lodge",25000.0,41.25,"Rainforest Deck",17500.0,94.88
"Rural Kenya","farmhouse","Farmhouse",50000.0,87.5,"Irrigation System",15000.0,113.75
"Rural Kenya","farmhouse","Farmhouse",50000.0,87.5,"Livestock Barn",25000.0,148.75
"Rural Kenya","farmhouse","Farmhouse",50000.0,87.5,"Tractor Shed",35000.0,201.25
"Rural Kenya","safari_retreat","Safari Retreat",100000.0,185.0,"Observation Deck",30000.0,240.5
"Rural Kenya","safari_retreat","Safari Retreat",100000.0,185.0,"Guest Cabins",50000.0,314.5
"Rural Kenya","safari_retreat","Safari Retreat",100000.0,185.0,"Jeep Garage",70000.0,425.5
"Rural Kenya","rural_estate","Rural Estate",250000.0,487.5,"Guest Wing",75000.0,633.75
"Rural Kenya","rural_estate","Rural Estate",250000.0,487.5,"Private Well",125000.0,828.75
"Rural Kenya","rural_estate","Rural Estate",250000.0,487.5,"Landscaping",175000.0,1121.25
"Rural Kenya","conservation_villa","Conservation Villa",500000.0,1025.0,"Wildlife Fencing",150000.0,1332.5
"Rural Kenya","conservation_villa","Conservation Villa",500000.0,1025.0,"Eco Roof",250000.0,1742.5
"Rural Kenya","conservation_villa","Conservation Villa",500000.0,1025.0,"Solar Grid",350000.0,2357.5
"Lagos, Nigeria","tin_roof_shack","Tin-Roof Shack",1000.0,1.15,"Reinforced Walls",300.0,1.50
"Lagos, Nigeria","tin_roof_shack","Tin-Roof Shack",1000.0,1.15,"Solar Panel",500.0,1.96
"Lagos, Nigeria","tin_roof_shack","Tin-Roof Shack",1000.0,1.15,"Window Frames",700.0,2.65
"Lagos, Nigeria","concrete_flat","Concrete Flat",2000.0,2.5,"Window Shutters",600.0,3.25
"Lagos, Nigeria","concrete_flat","Concrete Flat",2000.0,2.5,"Ceiling Fans",1000.0,4.25
"Lagos, Nigeria","concrete_flat","Concrete Flat",2000.0,2.5,"Plumbing Upgrade",1400.0,5.75
"Lagos, Nigeria","small_apartment","Small Apartment",5000.0,6.75,"Balcony Addition",1500.0,8.78
"Lagos, Nigeria","small_apartment","Small Apartment",5000.0,6.75,"Kitchenette",2500.0,11.48
"Lagos, Nigeria","small_apartment","Small Apartment",5000.0,6.75,"AC Unit",3500.0,15.53
"Lagos, Nigeria","duplex","Duplex",10000.0,14.5,"Second Floor AC",3000.0,18.85
"Lagos, Nigeria","duplex","Duplex",10000.0,14.5,"Carport",5000.0,24.65
"Lagos, Nigeria","duplex","Duplex",10000.0,14.5,"Security System",7000.0,33.35
"Lagos, Nigeria","mid_rise_block","Mid-Rise Block",25000.0,38.75,"Elevator Install",7500.0,50.38
"Lagos, Nigeria","mid_rise_block","Mid-Rise Block",25000.0,38.75,"Rooftop Access",12500.0,65.88
"Lagos, Nigeria","mid_rise_block","Mid-Rise Block",25000.0,38.75,"Modern Lighting",17500.0,89.13
"Lagos, Nigeria","gated_complex","Gated Complex",50000.0,82.5,"Security Gate",15000.0,107.25
"Lagos, Nigeria","gated_complex","Gated Complex",50000.0,82.5,"Pool Addition",25000.0,140.25
"Lagos, Nigeria","gated_complex","Gated Complex",50000.0,82.5,"Gym Facility",35000.0,189.75
"Lagos, Nigeria","high_rise_tower","High-Rise Tower",100000.0,175.0,"Rooftop Garden",30000.0,227.5
"Lagos, Nigeria","high_rise_tower","High-Rise Tower",100000.0,175.0,"Smart Windows",50000.0,297.5
"Lagos, Nigeria","high_rise_tower","High-Rise Tower",100000.0,175.0,"Concierge Desk",70000.0,402.5
"Lagos, Nigeria","luxury_condo","Luxury Condo",250000.0,462.5,"Smart Lighting",75000.0,601.25
"Lagos, Nigeria","luxury_condo","Luxury Condo",250000.0,462.5,"Marble Floors",125000.0,786.25
"Lagos, Nigeria","luxury_condo","Luxury Condo",250000.0,462.5,"Private Terrace",175000.0,1063.75
"Lagos, Nigeria","business_loft","Business Loft",500000.0,975.0,"Office Partition",150000.0,1267.5
"Lagos, Nigeria","business_loft","Business Loft",500000.0,975.0,"High-Speed WiFi",250000.0,1657.5
"Lagos, Nigeria","business_loft","Business Loft",500000.0,975.0,"Meeting Room",350000.0,2242.5
"Lagos, Nigeria","skyline_penthouse","Skyline Penthouse",1000000.0,2050.0,"Panoramic Windows",300000.0,2665.0
"Lagos, Nigeria","skyline_penthouse","Skyline Penthouse",1000000.0,2050.0,"Rooftop Jacuzzi",500000.0,3485.0
"Lagos, Nigeria","skyline_penthouse","Skyline Penthouse",1000000.0,2050.0,"Private Elevator",700000.0,4715.0
"Cape Town, South Africa","beach_shack","Beach Shack",5000.0,5.75,"Deck Extension",1500.0,7.48
"Cape Town, South Africa","beach_shack","Beach Shack",5000.0,5.75,"Waterproof Roof",2500.0,9.78
"Cape Town, South Africa","beach_shack","Beach Shack",5000.0,5.75,"Coastal Paint",3500.0,13.23
"Cape Town, South Africa","wooden_bungalow","Wooden Bungalow",10000.0,12.5,"Solar Panels",3000.0,16.25
"Cape Town, South Africa","wooden_bungalow","Wooden Bungalow",10000.0,12.5,"Porch Swing",5000.0,21.25
"Cape Town, South Africa","wooden_bungalow","Wooden Bungalow",10000.0,12.5,"Storm Shutters",7000.0,28.75
"Cape Town, South Africa","cliffside_cottage","Cliffside Cottage",25000.0,33.75,"Reinforced Rails",7500.0,43.88
"Cape Town, South Africa","cliffside_cottage","Cliffside Cottage",25000.0,33.75,"Glass Windows",12500.0,57.38
"Cape Town, South Africa","cliffside_cottage","Cliffside Cottage",25000.0,33.75,"Terrace Garden",17500.0,77.63
"Cape Town, South Africa","seaview_villa","Seaview Villa",50000.0,72.5,"Glass Balcony",15000.0,94.25
"Cape Town, South Africa","seaview_villa","Seaview Villa",50000.0,72.5,"Outdoor Kitchen",25000.0,123.25
"Cape Town, South Africa","seaview_villa","Seaview Villa",50000.0,72.5,"Solar AC",35000.0,166.75
"Cape Town, South Africa","modern_beach_house","Modern Beach House",100000.0,155.0,"Outdoor Shower",30000.0,201.5
"Cape Town, South Africa","modern_beach_house","Modern Beach House",100000.0,155.0,"Smart Thermostat",50000.0,263.5
"Cape Town, South Africa","modern_beach_house","Modern Beach House",100000.0,155.0,"Infinity Pool",70000.0,356.5
"Cape Town, South Africa","coastal_estate","Coastal Estate",250000.0,412.5,"Private Pier",75000.0,536.25
"Cape Town, South Africa","coastal_estate","Coastal Estate",250000.0,412.5,"Guest Suite",125000.0,701.25
"Cape Town, South Africa","coastal_estate","Coastal Estate",250000.0,412.5,"Seaside Gazebo",175000.0,948.75
"Cape Town, South Africa","luxury_retreat","Luxury Retreat",500000.0,875.0,"Infinity Pool",150000.0,1137.5
"Cape Town, South Africa","luxury_retreat","Luxury Retreat",500000.0,875.0,"Wine Cellar",250000.0,1487.5
"Cape Town, South Africa","luxury_retreat","Luxury Retreat",500000.0,875.0,"Spa Room",350000.0,2012.5
"Cape Town, South Africa","oceanfront_mansion","Oceanfront Mansion",1000000.0,1850.0,"Helipad",300000.0,2405.0
"Cape Town, South Africa","oceanfront_mansion","Oceanfront Mansion",1000000.0,1850.0,"Private Beach",500000.0,3145.0
"Cape Town, South Africa","oceanfront_mansion","Oceanfront Mansion",1000000.0,1850.0,"Smart Home System",700000.0,4255.0
"Cape Town, South Africa","vineyard_manor","Vineyard Manor",2500000.0,4875.0,"Wine Cellar",750000.0,6337.5
"Cape Town, South Africa","vineyard_manor","Vineyard Manor",2500000.0,4875.0,"Tasting Room",1250000.0,8287.5
"Cape Town, South Africa","vineyard_manor","Vineyard Manor",2500000.0,4875.0,"Vineyard Expansion",1750000.0,11212.5
"Cape Town, South Africa","cape_peninsula_chateau","Cape Peninsula Chateau",5000000.0,10250.0,"Grand Terrace",1500000.0,13325.0
"Cape Town, South Africa","cape_peninsula_chateau","Cape Peninsula Chateau",5000000.0,10250.0,"Helipad",2500000.0,17425.0
"Cape Town, South Africa","cape_peninsula_chateau","Cape Peninsula Chateau",5000000.0,10250.0,"Private Marina",3500000.0,23575.0
